STATUS    MODE    DONE       TIME     DESCR            TARGET
- run     tx      -          -        -                tables/users.sql
+ ok      tx      3 stmts    184ms    -                tables/users.sql
- begin   atomic  -          -        -                atomic/core
| run     atomic  -          -        -                schemas/extensions.sql
| ok      atomic  1 stmt     32ms     -                schemas/extensions.sql
| run     atomic  -          -        -                tables/base_tables.sql
| ok      atomic  7 stmts    1.8s     -                tables/base_tables.sql
+ commit  atomic  2 files    1.9s     8 stmts          atomic/core

TOTAL: applied: 3; skipped: 2; errors: 0; time: 2.1s; stmts: 8
